# Faculty of Technology, University of Delhi — room timetable
# Academic Session 2026-27, w.e.f. 17th September 2026
#
# Transcribed from the 22-page printed timetable issued on 17 September 2026. One row
# per printed cell:
#   day,start,units,room,subject,section,faculty,kind,batch
# `start` is the slot's start hour on a 24-hour clock, `units` its length in hours (a
# 2-hour block is one row with units=2, not two rows). `kind` is L / P / T.
#
# The printed grid has an 8-9 AM column and the timetable uses it. Attendo's teaching
# day starts at 9 and its slot grid is not being widened, so those cells are not
# carried over. Nine are dropped whole; the three that continue past 9 AM (the
# first-year FMB practical) keep the hours from 9 onward.
#
# Every other cell on every page is transcribed, including the ones printed without a
# room in brackets — FIT INDIA (Fit India, the sports hour, formerly SFL). Those leave
# `room` empty: they are classes the section attends, so they must be here for course
# seeding, but they occupy no room and the Rooms screens skip them. An empty `room` is
# the only way to say that; naming a room they do not use would book a room that is
# actually free.
#
# A class attended by more than one cohort (a 3rd-year elective, a joint EE workshop)
# appears once per cohort. That is not a clash: the Rooms screen groups identical
# bookings and lists the cohorts together. The `batch` column carries the cohort the
# printed cell names — FMB and FL number their practical groups A and B across
# sections, so a first-year section may be in group A here and group B there.
#
# To update for a new semester: replace this file, keeping the column order.
day,start,units,room,subject,section,faculty,kind,batch
Fri,11,2,317,ADEC,2nd Yr EE-B,DRS,P,B2
Fri,14,4,212,AEW-I,2nd Yr EE-B,AKT / UJS,L,B2

# ---- 2nd Year ECE-A ----------------------------------------------------------
Mon,11,2,213,EDC,2nd Yr ECE-A,DRS,L,
Mon,14,2,303,NAS,2nd Yr ECE-A,SW,P,A2
Mon,14,2,317,DE-1,2nd Yr ECE-A,BA,P,A1
Mon,16,2,311,EDC,2nd Yr ECE-A,DRS,P,A1
Mon,16,2,317,DE-1,2nd Yr ECE-A,BA,P,A2
Tue,10,1,203,VLSI,2nd Yr ECE-A,SW,L,
Tue,14,2,204,IEHV,2nd Yr ECE-A,ART,L,
Tue,14,2,312,VLSI,2nd Yr ECE-A,SW,P,
Tue,16,2,313,EVS-2,2nd Yr ECE-A,EKL,L,
Wed,9,2,R2,PSCS-B,2nd Yr ECE-A,AZK,L,
Wed,11,1,213,NAS,2nd Yr ECE-A,DRB,L,
Wed,13,2,213,DE-1,2nd Yr ECE-A,BA,L,
Wed,15,2,,FIT INDIA,2nd Yr ECE-A,ANJ,L,
Thu,9,2,R2,PSCS,2nd Yr ECE-A,AZK,P,B3
Thu,11,1,213,NAS,2nd Yr ECE-A,DRB,L,
Thu,12,1,213,DE-1,2nd Yr ECE-A,BA,L,
Thu,13,1,R2,PSCS-B,2nd Yr ECE-A,AZK,L,
Thu,14,2,203,VLSI,2nd Yr ECE-A,SW,L,
Thu,14,1,204,IEHV,2nd Yr ECE-A,ART,L,
Thu,15,1,204,IEHV,2nd Yr ECE-A,ART,T,
Thu,16,1,213,EDC,2nd Yr ECE-A,DRS,L,
Fri,11,1,213,NAS,2nd Yr ECE-A,DRB,L,
Fri,14,2,303,NAS,2nd Yr ECE-A,DRB,P,A1
Fri,14,2,311,EDC,2nd Yr ECE-A,DRS,P,A2

# ---- 2nd Year ECE-B ----------------------------------------------------------
Mon,9,2,R2,PSCS-A,2nd Yr ECE-B,AZK,L,
Mon,13,2,204,DE-1,2nd Yr ECE-B,PKS,L,
Mon,15,2,,FIT INDIA,2nd Yr ECE-B,ANJ,L,
Tue,10,1,203,VLSI,2nd Yr ECE-B,SW,L,
Tue,11,2,203,EDC,2nd Yr ECE-B,BA,L,
Tue,13,1,R1,PSCS-A,2nd Yr ECE-B,AZK,L,
Tue,14,2,312,VLSI,2nd Yr ECE-B,SW,P,
Tue,14,2,Basement Lab,FSS,2nd Yr ECE-B,AKS,L,
Wed,11,1,313,DE-1,2nd Yr ECE-B,PKS,L,
Wed,12,1,313,NAS,2nd Yr ECE-B,SW,L,
Wed,14,2,303,NAS,2nd Yr ECE-B,SW,P,B2
Wed,14,2,317,DE-1,2nd Yr ECE-B,PKS,P,B1
Wed,16,2,204,EVS-2,2nd Yr ECE-B,EKL,L,
Thu,11,2,317,DE-1,2nd Yr ECE-B,PKS,P,B2
Thu,13,1,203,EDC,2nd Yr ECE-B,BA,L,
Thu,14,2,203,VLSI,2nd Yr ECE-B,SW,L,
Thu,14,1,Basement Lab,FSS,2nd Yr ECE-B,AKS,L,
Thu,15,1,Basement Lab,FSS,2nd Yr ECE-B,AKS,T,
Fri,9,2,R2,PSCS,2nd Yr ECE-B,AZK,P,B4
Fri,11,2,303,NAS,2nd Yr ECE-B,SW,P,B1
Fri,11,2,311,EDC,2nd Yr ECE-B,BA,P,B2
Fri,14,2,204,NAS,2nd Yr ECE-B,SW,L,
Fri,16,2,311,EDC,2nd Yr ECE-B,BA,P,B1

# ---- 2nd Year CSE-A ----------------------------------------------------------
Mon,9,2,R2,PSCS-A,2nd Yr CSE-A,AZK,L,
Mon,11,2,R2,ADA,2nd Yr CSE-A,JJ,L,
Mon,14,2,R1,DBMS,2nd Yr CSE-A,GB,P,A2
Mon,14,2,R3,ADA,2nd Yr CSE-A,JJ,P,A1
Mon,16,2,R2,PSCS,2nd Yr CSE-A,AZK,P,B1
Tue,11,2,R1,DBMS,2nd Yr CSE-A,GB,L,
Tue,13,1,R1,PSCS-A,2nd Yr CSE-A,AZK,L,
Tue,15,2,,FIT INDIA,2nd Yr CSE-A,AP,L,
Wed,9,2,R1,EVS-2,2nd Yr CSE-A,UDS,L,
Wed,13,1,314,DSD,2nd Yr CSE-A,BR,L,
Wed,14,2,513,DSD,2nd Yr CSE-A,BR,P,A2
Wed,14,2,R2,DBMS,2nd Yr CSE-A,GB,P,A1
Thu,10,1,R1,DBMS,2nd Yr CSE-A,GB,L,
Fri,9,2,214,DSD,2nd Yr CSE-A,BR,L,
Fri,11,2,Basement Lab,DSD,2nd Yr CSE-A,BR,P,A1
Fri,11,2,R3,ADA,2nd Yr CSE-A,JJ,P,A2
Fri,13,1,R2,ADA,2nd Yr CSE-A,JJ,L,

# ---- 2nd Year CSE-B ----------------------------------------------------------
Mon,11,2,Basement Lab,DSD,2nd Yr CSE-B,BR,P,B2
Mon,11,2,R3,DBMS,2nd Yr CSE-B,GB,P,B1
Mon,14,2,R2,DSD,2nd Yr CSE-B,BR,L,
Mon,16,2,313,EVS-2,2nd Yr CSE-B,EKL,L,
Tue,11,2,R2,ADA,2nd Yr CSE-B,JJ,P,B2
Tue,11,2,R3,DSD,2nd Yr CSE-B,BR,P,B1
Tue,13,1,R2,ADA,2nd Yr CSE-B,JJ,L,
Tue,14,2,Basement Lab,FSS,2nd Yr CSE-B,AKS,L,
Tue,16,2,R2,PSCS,2nd Yr CSE-B,AZK,P,B2
Wed,9,2,R2,PSCS-B,2nd Yr CSE-B,AZK,L,
Wed,11,2,513,ADA,2nd Yr CSE-B,JJ,P,B1
Wed,11,1,R3,DBMS,2nd Yr CSE-B,GB,P,B2
Wed,12,1,R3,ADA,2nd Yr CSE-B,GB,P,B2
Wed,14,2,R1,ADA,2nd Yr CSE-B,JJ,L,
Thu,11,1,R2,DSD,2nd Yr CSE-B,BR,L,
Thu,12,1,R2,DBMS,2nd Yr CSE-B,GB,L,
Thu,13,1,R2,PSCS-B,2nd Yr CSE-B,AZK,L,
Thu,14,1,Basement Lab,FSS,2nd Yr CSE-B,AKS,L,
Thu,15,2,,FIT INDIA,2nd Yr CSE-B,AZK,L,
Thu,15,1,Basement Lab,FSS,2nd Yr CSE-B,AKS,T,
Fri,11,2,R2,DBMS,2nd Yr CSE-B,GB,L,

# ---- 3rd Year EE -------------------------------------------------------------
Mon,9,2,313,NN-B,3rd Yr EE,US,P,B2
Mon,11,2,312,PSA,3rd Yr EE,AT,L,
Mon,14,2,219,EMFT,3rd Yr EE,UJS,P,B1
Mon,14,2,312,CS,3rd Yr EE,RJS,P,B2
Mon,16,1,216,ECA,3rd Yr EE,RJS,T,A1
Mon,16,2,304,DIP-B,3rd Yr EE,GS,P,B2
Mon,17,1,216,ECA,3rd Yr EE,RJS,T,A2
Tue,9,2,204,AVLSI,3rd Yr EE,VK,L,
Tue,11,2,303,PSA,3rd Yr EE,AT,P,B1
Tue,13,1,203,DMW,3rd Yr EE,JS,L,
Tue,14,2,R3,CS,3rd Yr EE,RJS,L,
Tue,16,1,R1,ECA-A,3rd Yr EE,RJS,L,
Tue,17,1,214,NN-B,3rd Yr EE,US,L,
Wed,9,2,313,NN-B,3rd Yr EE,US,P,B1
Wed,10,1,304,DMW,3rd Yr EE,JS,T,
Wed,11,2,303,PSA,3rd Yr EE,AT,P,B2
Wed,11,2,312,CS,3rd Yr EE,RJS,P,B1
Wed,13,1,203,CS,3rd Yr EE,RJS,L,
Wed,15,1,203,EMFT,3rd Yr EE,UJS,L,
Thu,9,1,204,AVLSI,3rd Yr EE,VK,L,
Thu,10,1,313,DIP-B,3rd Yr EE,GS,L,
Thu,11,2,312,EMFT,3rd Yr EE,UJS,L,
Thu,14,1,313,PSA,3rd Yr EE,AT,L,
Thu,16,2,214,NN-B,3rd Yr EE,US,L,
Fri,9,2,303,AVLSI,3rd Yr EE,VK,P,
Fri,9,2,R3,DMW,3rd Yr EE,JS,L,
Fri,11,2,219,EMFT,3rd Yr EE,UJS,P,B2
Fri,14,2,314,DIP-B,3rd Yr EE,GS,L,
Fri,16,2,213,ECA-A,3rd Yr EE,RJS,L,

# ---- 3rd Year ECE-A ----------------------------------------------------------
Mon,9,2,313,NN-B,3rd Yr ECE-A,US,P,B2
Mon,11,2,217,DSP,3rd Yr ECE-A,VS,P,A1
Mon,11,2,311,ACS,3rd Yr ECE-A,GSC,P,A2
Mon,13,1,R1,EH,3rd Yr ECE-A,SK,L,
Mon,14,2,217,CTRLS,3rd Yr ECE-A,DP,P,A2
Mon,14,2,311,ACS,3rd Yr ECE-A,GSC,P,A1
Mon,16,1,216,ECA,3rd Yr ECE-A,RJS,T,A1
Mon,17,1,216,ECA,3rd Yr ECE-A,RJS,T,A2
Tue,9,2,204,AVLSI,3rd Yr ECE-A,VK,L,
Tue,11,1,213,ACS,3rd Yr ECE-A,GSC,L,
Tue,13,1,313,ACS,3rd Yr ECE-A,GSC,L,
Tue,14,2,211,DSP,3rd Yr ECE-A,VS,P,A2
Tue,14,2,217,CTRLS,3rd Yr ECE-A,DP,P,A1
Tue,16,1,R1,ECA-A,3rd Yr ECE-A,RJS,L,
Tue,17,1,214,NN-B,3rd Yr ECE-A,US,L,
Wed,9,2,313,NN-B,3rd Yr ECE-A,US,P,B1
Wed,11,2,314,DSP,3rd Yr ECE-A,VS,L,
Wed,13,1,R1,EH,3rd Yr ECE-A,SK,L,
Wed,14,2,214,CTRLS,3rd Yr ECE-A,DP,L,
Wed,16,2,R2,EH,3rd Yr ECE-A,SK,P,B1
Thu,9,1,204,AVLSI,3rd Yr ECE-A,VK,L,
Thu,10,1,313,DIP-B,3rd Yr ECE-A,GS,L,
Thu,11,1,204,DSP,3rd Yr ECE-A,VS,L,
Thu,14,2,317,DIP-B,3rd Yr ECE-A,GS,P,B1
Thu,16,2,214,NN-B,3rd Yr ECE-A,US,L,
Thu,16,2,R2,EH,3rd Yr ECE-A,SK,P,B2
Fri,9,2,303,AVLSI,3rd Yr ECE-A,VK,P,
Fri,11,1,214,CTRLS,3rd Yr ECE-A,DP,L,
Fri,12,1,213,ACS,3rd Yr ECE-A,GSC,L,
Fri,13,1,R3,EH,3rd Yr ECE-A,SK,L,
Fri,14,2,314,DIP-B,3rd Yr ECE-A,GS,L,
Fri,16,2,213,ECA-A,3rd Yr ECE-A,RJS,L,

# ---- 3rd Year ECE-B ----------------------------------------------------------
Mon,9,2,313,NN-B,3rd Yr ECE-B,US,P,B2
Mon,11,2,214,DSP,3rd Yr ECE-B,AKG,L,
Mon,13,1,R1,EH,3rd Yr ECE-B,SK,L,
Mon,16,1,216,ECA,3rd Yr ECE-B,RJS,T,A1
Mon,16,2,304,DIP-B,3rd Yr ECE-B,GS,P,B2
Mon,17,1,216,ECA,3rd Yr ECE-B,RJS,T,A2
Tue,9,2,204,AVLSI,3rd Yr ECE-B,VK,L,
Tue,11,2,217,DSP,3rd Yr ECE-B,AKG,P,B1
Tue,11,2,312,ACS,3rd Yr ECE-B,VS,P,B2
Tue,13,1,203,DMW,3rd Yr ECE-B,JS,L,
Tue,14,2,219,DSP,3rd Yr ECE-B,AKG,P,B2
